code,name,type,brand,price,priceRange,country,mainImageUrl
1,Crystal Glam Tint,Lip Tint,CLIO,29.14,,South Korea,https://res.cloudinary.com/dk85s3hmq/image/upload/v1746025073/XXL_p0195181458_c943fo.webp
2,Kill Cover High Glow Foundation,Foundation,CLIO,29.14,,South Korea,https://res.cloudinary.com/dk85s3hmq/image/upload/v1746025139/clio-kill-cover-high-glow-foundation-38g-3-linen-2_xjaort.webp
3,Kill Cover High Glow Cushion Set,Foundation,CLIO,59.66,,South Korea,https://clubclio.shop/cdn/shop/files/2_ae74ab25-56f8-45f5-aabe-5d2fb405690e_1000x.jpg?v=1694597673
4,Chiffon Blur Tint,Lip Tint,CLIO,29.14,,South Korea,https://image.globaloliveyoungshop.com/prdtImg/1573/3cea5f43-b7fd-40d8-a3f6-34acb7575032.jpg?RS=1500x1500&AR=0&SF=webp&QT=80
5,Pro Eye Palette Air,Eyeshadow,CLIO,55.50,,South Korea,https://i.ebayimg.com/images/g/tdkAAOSwr5RllMzp/s-l1200.jpg
6,Kill Cover The New Foundwear Cushion Set,Foundation,CLIO,55.50,,South Korea,https://cdn.shopify.com/s/files/1/0668/0022/2505/products/1683877255375_ecd6bd44eb4d44a0817fef4ad239b66c.jpg?v=1685417867
7,Kill Lash Superproof Mascara,Mascara,CLIO,29.14,,South Korea,https://ca.lewkin.com/cdn/shop/files/KILL-LASH-SUPERPROOF-MASCARA_2.jpg?v=1739163304
8,Sharp So Simple Pencil Liner,Eyeliner,CLIO,16.65,,South Korea,https://oceanbuy.ca/cdn/shop/files/clio-clio-sharp-so-simple-waterproof-pencil-liner-3-color-to-choose-oceanbuy-beauty-201375.jpg?v=1741544742
9,Superproof Pen Liner,Eyeliner,CLIO,24.97,,South Korea,https://m.media-amazon.com/images/I/61cNXBj9VgL.jpg
10,Ink Mood Glowy Tint,Lip Tint,peripera,16.65,,South Korea,https://kpoptown.ca/cdn/shop/products/126796.jpg?v=1696547304
11,Ink the Velvet,Lip Tint,peripera,15.26,,South Korea,https://d1flfk77wl2xk4.cloudfront.net/Assets/43/818/L_p0065581843.jpg
12,Water Bare Tint,Lip Tint,peripera,19.42,,South Korea,https://d1flfk77wl2xk4.cloudfront.net/Assets/33/448/XXL_p0190844833.jpg
13,Blending Mood Cheek,Blush,dasique,27.59,,South Korea,https://www.oomomostore.com/cdn/shop/files/8809581538283-2_800x.jpg?v=1734561753
14,Shadow Palette,Eyeshadow,dasique,40.19,,South Korea,https://www.skincupid.ca/cdn/shop/files/300_0c20210d-9a65-4e34-9ed4-8346b4211218.png?v=1726483698&width=1280
15,Juicy Dewy Lip Tint,Lip Tint,dasique,20.65,,South Korea,https://kiokii.com/cdn/shop/files/juicy-dewy-tintdasiquekiokii-and-558080.jpg?v=1718103665
16,Pro Concealer Palette,Concealer,dasique,34.63,,South Korea,https://dasique.com/cdn/shop/files/concealer.png?v=1701243329&width=3200
17,Re-Forming Contour Stick,Contour,colorgram,13.82,,South Korea,https://i.ebayimg.com/images/g/9RgAAOSwYt5knkDu/s-l1200.jpg
18,Fruity Glass Tint,Lip Tint,colorgram,14.25,,South Korea,https://image.globaloliveyoungshop.com/prdtImg/1198/8c830da8-a167-46bd-b204-59645e63e470.jpg?RS=1500x1500&AR=0&SF=webp&QT=80
19,Pin Point Eyeshadow,Eyeshadow,colorgram,21.72,,South Korea,https://www.moona.store/cdn/shop/files/Colorgram-Pint_Point_Eyeshadow_Palette-03_Pink_Lavender_Love-Eye_Makeup-Moona-Store-NZ-4_1080x.jpg?v=1711414711
20,Easy Auto Brow Pencil,Eyebrow,colorgram,8.21,,South Korea,https://kr.ktown4u.com/goods_files/SH0164/goods_images/000100/GD00099542.default.8.jpg
