productCode,name,price,shippingPrice
1,YesStyle,19.67,70
1,Stylevana,18.99,68
1,kiokii and ...,20.99,75
2,YesStyle,39.17,70
2,Stylevana,46.99,68
3,YesStyle,38.74,70
3,Stylevana,49.65,68
3,Olive Young,53.96,83
4,YesStyle,19.01,70
4,Olive Young,22.72,83
4,Stylevana,24.83,68
5,YesStyle,48.96,70
5,Stylevana,46.89,68
5,kiokii and ...,34.99,75
5,Olive Young,49.70,83
6,Sukoshi Mart,40.95,65
6,kiokii and ...,40.99,75
7,Sukoshi Mart,18.75,65
7,YesStyle,25.92,70
7,Stylevana,17.09,68
8,YesStyle,11.38,70
8,Sukoshi Mart,13.95,65
8,Stylevana,15.17,68
8,kiokii and ...,13.49,75
9,Sukoshi Mart,19.95,65
9,YesStyle,15.26,70
9,Stylevana,15.99,68
10,Sukoshi Mart,11.85,65
10,YesStyle,13.68,70
10,LEWKIN,18.00,86
11,YesStyle,12.96,70
11,Sukoshi Mart,9.95,65
12,YesStyle,14.98,70
12,Stylevana,16.55,68
12,LEWKIN,19.00,86
13,OOMOMO,26.91,150
13,YesStyle,23.18,70
13,Stylevana,27.45,68
13,kiokii and ...,24.99,75
14,YesStyle,33.70,70
14,OOMOMO,38.64,150
14,Sukoshi Mart,35.99,65
15,OOMOMO,19.32,150
15,YesStyle,16.70,70
15,kiokii and ...,16.99,75
15,Sukoshi Mart,16.99,65
16,YesStyle,29.81,70
16,OOMOMO,33.12,150
16,Stylevana,34.48,68
16,kiokii and ...,32.99,75
17,YesStyle,17.27,70
17,Sukoshi Mart,13.95,65
17,kiokii and ...,13.49,75
18,YesStyle,24.47,70
18,kiokii and ...,13.49,75
18,Olive Young,17.50,83
19,YesStyle,33.11,70
19,Sukoshi Mart,23.85,65
19,kiokii and ...,20.99,75
20,Sukoshi Mart,7.95,65
20,kiokii and ...,7.49,75
21,YesStyle,13.97,70
21,Stylevana,14.62,68
21,Sukoshi Mart,16.95,65
22,YesStyle,6.19,70
22,Stylevana,5.38,68
22,kiokii and ...,5.99,75
23,YesStyle,17.28,70
23,Olive Young,24.14,83
24,YesStyle,28.80,70
24,Stylevana,27.58,68
24,Sukoshi Mart,25.49,65
24,kiokii and ...,25.49,75
25,YesStyle,14.83,70
25,kiokii and ...,13.49,75
25,Stylevana,16.19,68
26,YesStyle,12.10,70
26,Stylevana,11.59,68
27,YesStyle,16.27,70
27,Olive Young,28.40,83
27,Stylevana,17.27,68
28,YesStyle,22.44,70
28,Stylevana,35.86,68
28,kiokii and ...,26.99,75
28,Sukoshi Mart,20.85,65
29,YesStyle,21.60,70
29,Sukoshi Mart,20.85,65
29,Stylevana,20.69,68
30,YesStyle,12.67,70
30,Stylevana,21.71,68
31,YesStyle,11.38,70
31,Olive Young,18.46,83
32,YesStyle,18.72,70
32,kiokii and ...,17.99,75
32,Stylevana,20.69,68
33,YesStyle,16.70,70
33,Stylevana,10.49,68
34,Stylevana,19.91,68
35,Sukoshi Mart,25.95,65
35,Stylevana,35.99,68
35,kiokii and ...,25.99,75
35,YesStyle,30.96,70
36,YesStyle,15.84,70
36,Sukoshi Mart,13.95,65
36,OOMOMO,12.50,150
37,Stylevana,16.31,68
37,Sukoshi Mart,12.75,65
37,OOMOMO,12.75,150
38,YesStyle,17.28,70
38,Sukoshi Mart,12.75,65
38,OOMOMO,12.75,150
39,YesStyle,17.28,70
39,Sukoshi Mart,14.85,65
39,OOMOMO,12.75,150
40,YesStyle,20.16,70
40,Sukoshi Mart,16.85,65
40,OOMOMO,15.75,150
41,Stylevana,47.26,68
41,YesStyle,21.96,70
41,kiokii and ...,25.99,75
